id,name,short_name,description,home_team,away_team,toss_won,decision,1st_inning_score,2nd_inning_score,home_score,away_score,winner,result,start_date,end_date,venue_id,venue_name,home_captain,away_captain,pom,points,home_overs,home_runs,home_wickets,home_boundaries,away_overs,away_runs,away_wickets,away_boundaries,match_days,umpire1,umpire2,tv_umpire,,,
1298179,England v Pakistan,ENG v PAK,"Final (N), ICC Men's T20 World Cup at Melbourne, Nov 13 2022",ENG,PAK,England,BOWL FIRST,137/8,138/5,138/5,137/8,ENG,England won by 5 wkts (6b rem),2022-11-13T08:00Z,2022-11-14T23:59Z,56441,Melbourne Cricket Ground,Jos Buttler,Babar Azam,Sam Curran,None,19,138,5,16,20,137,8,10,13 November 2022 - night match (20-over match),Kumar Dharmasena,Marais Erasmus,Chris Gaffaney,,,
1298178,England v India,ENG v INDIA,"2nd Semi-Final (N), ICC Men's T20 World Cup at Adelaide, Nov 10 2022",ENG,INDIA,England,BOWL FIRST,168/6,170/0,170/0,168/6,ENG,England won by 10 wkts (24b rem),2022-11-10T08:00Z,2022-11-11T23:59Z,56293,Adelaide Oval,Jos Buttler,Rohit Sharma,Alex Hales,None,16,170,0,23,20,168,6,22,10 November 2022 - night match (20-over match),Kumar Dharmasena,Paul Reiffel,Chris Gaffaney,,,
1298177,New Zealand v Pakistan,NZ v PAK,"1st Semi-Final (N), ICC Men's T20 World Cup at Sydney, Nov 9 2022",NZ,PAK,New Zealand,BAT FIRST,152/4,153/3,152/4,153/3,PAK,Pakistan won by 7 wkts (5b rem),2022-11-09T08:00Z,2022-11-10T23:59Z,56544,Sydney Cricket Ground,Kane Williamson,Babar Azam,Mohammad Rizwan,None,20,152,4,12,19.1,153,3,15,9 November 2022 - night match (20-over match),Marais Erasmus,Richard Illingworth,Richard Kettleborough,,,   
1298176,India v Zimbabwe,INDIA v ZIM,"42nd Match, Group 2 (N), ICC Men's T20 World Cup at Melbourne, Nov 6 2022",INDIA,ZIM,India,BAT FIRST,186/5,115,186/5,115,INDIA,India won by 71 runs,2022-11-06T08:00Z,2022-11-07T23:59Z,56441,Melbourne Cricket Ground,Rohit Sharma,Craig Ervine,Suryakumar Yadav,"India 2, Zimbabwe 0",20,186,5,22,17.2,115,10,14,6 November 2022 - night match (20-over match),Richard Kettleborough,Rod Tucker,Aleem Dar,,,
1298175,Bangladesh v Pakistan,BAN v PAK,"41st Match, Group 2, ICC Men's T20 World Cup at Adelaide, Nov 6 2022",BAN,PAK,Bangladesh,BAT FIRST,127/8,128/5,127/8,128/5,PAK,Pakistan won by 5 wkts (11b rem),2022-11-06T04:00Z,2022-11-07T23:59Z,56293,Adelaide Oval,Shakib Al Hasan,Babar Azam,Shaheen Shah Afridi,"Pakistan 2, Bangladesh 0",20,127,8,14,18.1,128,5,10,6 November 2022 (20-over match),Adrian Holdstock,Joel Wilson,Langton Rusere,,,
1298174,Netherlands v South Africa,NED v SA,"40th Match, Group 2, ICC Men's T20 World Cup at Adelaide, Nov 6 2022",NED,SA,South Africa,BOWL FIRST,158/4,145/8,158/4,145/8,NED,Netherlands won by 13 runs,2022-11-06T00:00Z,2022-11-07T23:59Z,56293,Adelaide Oval,Scott Edwards,Temba Bavuma,Colin Ackermann,"Netherlands 2, South Africa 0",20,158,4,20,20,145,8,12,6 November 2022 (20-over match),Michael Gough,Langton Rusere,Richard Illingworth,,,
1298173,England v Sri Lanka,ENG v SL,"39th Match, Group 1 (N), ICC Men's T20 World Cup at Sydney, Nov 5 2022",ENG,SL,Sri Lanka,BAT FIRST,141/8,144/6,144/6,141/8,ENG,England won by 4 wkts (2b rem),2022-11-05T08:00Z,2022-11-06T23:59Z,56544,Sydney Cricket Ground,Jos Buttler,Dasun Shanaka,Adil Rashid,"England 2, Sri Lanka 0",19.4,144,6,14,20,141,8,13,5 November 2022 - night match (20-over match),Paul Reiffel,Paul Wilson,Nitin Menon,,,
1298172,Australia v Afghanistan,AUS v AFG,"38th Match, Group 1 (N), ICC Men's T20 World Cup at Adelaide, Nov 4 2022",AUS,AFG,Afghanistan,BOWL FIRST,168/8,164/7,168/8,164/7,AUS,Australia won by 4 runs,2022-11-04T08:00Z,2022-11-05T23:59Z,56293,Adelaide Oval,Matthew Wade,Mohammad Nabi,Glenn Maxwell,"Australia 2, Afghanistan 0",20,168,8,22,20,164,7,19,4 November 2022 - night match (20-over match),Aleem Dar,Langton Rusere,Adrian Holdstock,,,
1298171,Ireland v New Zealand,IRE v NZ,"37th Match, Group 1, ICC Men's T20 World Cup at Adelaide, Nov 4 2022",IRE,NZ,Ireland,BOWL FIRST,185/6,150/9,150/9,185/6,NZ,New Zealand won by 35 runs,2022-11-04T04:00Z,2022-11-05T23:59Z,56293,Adelaide Oval,Andy Balbirnie,Kane Williamson,Kane Williamson,"New Zealand 2, Ireland 0",20,150,9,15,20,185,6,21,4 November 2022 (20-over match),Kumar Dharmasena,Richard Illingworth,Aleem Dar,,,
1298170,Pakistan v South Africa,PAK v SA,"36th Match, Group 2 (N), ICC Men's T20 World Cup at Sydney, Nov 3 2022",PAK,SA,Pakistan,BAT FIRST,185/9,108/9,185/9,108/9,PAK,Pakistan won by 33 runs (D/L),2022-11-03T08:00Z,2022-11-04T23:59Z,56544,Sydney Cricket Ground,Babar Azam,Temba Bavuma,Shadab Khan,"Pakistan 2, South Africa 0",20,185,9,23,14,108,9,15,3 November 2022 - night match (20-over match),Chris Gaffaney,Paul Reiffel,Paul Wilson,,,
